school,close_contact,postive_case,suspected_case,total,date,cluster,listed
Meadowcreek HS,,,1.0,1.0,8/20/2020,Meadowcreek,yes
Meadowcreek HS,,,1.0,1.0,8/25/2020,Meadowcreek,yes
Meadowcreek HS,,,1.0,1.0,8/26/2020,Meadowcreek,yes
Meadowcreek HS,5.0,0.0,2.0,7.0,9/1/2020,Meadowcreek,yes
Meadowcreek HS,1.0,0.0,1.0,2.0,9/2/2020,Meadowcreek,yes
Meadowcreek HS,0.0,0.0,2.0,2.0,9/3/2020,Meadowcreek,yes
Mountain View HS,,,1.0,1.0,8/21/2020,Mountain View,yes
Mountain View HS,5.0,0.0,1.0,6.0,8/31/2020,Mountain View,yes
Mountain View HS,0.0,0.0,4.0,4.0,9/1/2020,Mountain View,yes
Mountain View HS,2.0,0.0,1.0,3.0,9/2/2020,Mountain View,yes
Mountain View HS,1.0,0.0,1.0,2.0,9/3/2020,Mountain View,yes
Mulberry ES,4.0,,,4.0,8/21/2020,Dacula,yes
Mulberry ES,0.0,0.0,1.0,1.0,8/28/2020,Dacula,yes
Mulberry ES,1.0,,3.0,4.0,8/25/2020,Dacula,yes
Mulberry ES,8.0,0.0,4.0,12.0,9/1/2020,Dacula,yes
Mulberry ES,0.0,0.0,2.0,2.0,9/2/2020,Dacula,yes
Mulberry ES,5.0,0.0,2.0,7.0,9/3/2020,Dacula,yes
Norcross HS,,,1.0,1.0,8/21/2020,Norcross,yes
Norcross HS,,,1.0,1.0,8/18/2020,Norcross,yes
Norcross HS,,,1.0,1.0,8/20/2020,Norcross,yes
Norcross HS,1.0,,1.0,2.0,8/26/2020,Norcross,yes
Norcross HS,0.0,0.0,1.0,1.0,9/2/2020,Norcross,yes
Norcross HS,1.0,0.0,0.0,1.0,9/3/2020,Norcross,yes
Parkview HS,,,1.0,1.0,8/21/2020,Parkview,yes
Parkview HS,0.0,1.0,1.0,2.0,8/28/2020,Parkview,yes
Parkview HS,5.0,,2.0,7.0,8/18/2020,Parkview,yes
Parkview HS,,,1.0,1.0,8/19/2020,Parkview,yes
Parkview HS,1.0,,,1.0,8/20/2020,Parkview,yes
Parkview HS,1.0,0.0,1.0,2.0,9/1/2020,Parkview,yes
Parkview HS,0.0,0.0,1.0,1.0,9/3/2020,Parkview,yes
Peachtree ES,1.0,,,1.0,8/21/2020,Norcross,yes
Peachtree ES,1.0,,,1.0,8/24/2020,Norcross,yes
Peachtree ES,1.0,,,1.0,8/19/2020,Norcross,yes
Peachtree ES,2.0,0.0,0.0,2.0,9/3/2020,Norcross,yes
Pharr ES,5.0,,1.0,6.0,8/21/2020,Grayson,yes
Pharr ES,1.0,,,1.0,8/26/2020,Grayson,yes
Pharr ES,1.0,0.0,0.0,1.0,9/1/2020,Grayson,yes
Pharr ES,1.0,0.0,0.0,1.0,9/2/2020,Grayson,yes
Pharr ES,19.0,0.0,1.0,20.0,9/3/2020,Grayson,yes
Puckett's Mill ES,1.0,,,1.0,8/21/2020,Mill Creek,yes
Puckett's Mill ES,0.0,0.0,1.0,1.0,8/31/2020,Mill Creek,yes
Puckett's Mill ES,1.0,0.0,1.0,2.0,9/1/2020,Mill Creek,yes
Stripling ES,,,1.0,1.0,8/21/2020,Norcross,yes
Stripling ES,,,1.0,1.0,8/19/2020,Norcross,yes
Stripling ES,,,1.0,1.0,8/20/2020,Norcross,yes
Sugar Hill ES,1.0,,,1.0,8/21/2020,Lanier,yes
Sugar Hill ES,0.0,0.0,1.0,1.0,9/1/2020,Lanier,yes
Sugar Hill ES,0.0,0.0,1.0,1.0,9/2/2020,Lanier,yes
Sugar Hill ES,1.0,0.0,0.0,1.0,9/3/2020,Lanier,yes
Total,26.0,5.0,15.0,46.0,8/21/2020,Total,yes
Total,13.0,2.0,8.0,23.0,8/24/2020,Total,yes
Total,33.0,4.0,37.0,74.0,8/28/2020,Total,yes
Total,82.0,1.0,31.0,114.0,8/31/2020,Total,yes
Total,17.0,3.0,21.0,41.0,8/18/2020,Total,yes
Total,14.0,6.0,18.0,38.0,8/19/2020,Total,yes
Total,20.0,2.0,14.0,36.0,8/20/2020,Total,yes
Total,19.0,5.0,18.0,42.0,8/25/2020,Total,yes
Total,20.0,0.0,18.0,38.0,8/26/2020,Total,yes
Total,179.0,4.0,66.0,249.0,9/1/2020,Total,yes
Total,103.0,2.0,33.0,138.0,9/2/2020,Total,yes
Total,90.0,0.0,62.0,152.0,9/3/2020,Total,yes
Benefield ES,1.0,,,1.0,8/24/2020,Discovery,yes
Benefield ES,1.0,0.0,4.0,5.0,8/28/2020,Discovery,yes
Benefield ES,0.0,1.0,0.0,1.0,9/1/2020,Discovery,yes
Centerville ES,,,1.0,1.0,8/24/2020,Shiloh,yes
Cooper ES,1.0,,,1.0,8/24/2020,Archer,yes
Cooper ES,1.0,0.0,0.0,1.0,8/31/2020,Archer,yes
Cooper ES,,,1.0,1.0,8/19/2020,Archer,yes
Duluth MS,1.0,,,1.0,8/24/2020,Duluth,yes
Duluth MS,5.0,0.0,1.0,6.0,8/28/2020,Duluth,yes
Duluth MS,1.0,0.0,0.0,1.0,8/31/2020,Duluth,yes
Duluth MS,,,1.0,1.0,8/26/2020,Duluth,yes
Duluth MS,0.0,0.0,2.0,2.0,9/1/2020,Duluth,yes
Duluth MS,3.0,0.0,1.0,4.0,9/3/2020,Duluth,yes
Lilburn MS,1.0,,,1.0,8/24/2020,Meadowcreek,yes
Lilburn MS,1.0,0.0,1.0,2.0,8/28/2020,Meadowcreek,yes
Lilburn MS,8.0,0.0,6.0,14.0,8/31/2020,Meadowcreek,yes
Lilburn MS,1.0,,1.0,2.0,8/19/2020,Meadowcreek,yes
Lilburn MS,1.0,,,1.0,8/20/2020,Meadowcreek,yes
Lilburn MS,,,1.0,1.0,8/25/2020,Meadowcreek,yes
Lilburn MS,1.0,,,1.0,8/26/2020,Meadowcreek,yes
Lilburn MS,0.0,0.0,2.0,2.0,9/2/2020,Meadowcreek,yes
Maxwell HS of Technology,1.0,,1.0,2.0,8/24/2020,Other,yes
Northbrook MS,,1.0,,1.0,8/24/2020,Peachtree Ridge,yes
Norton ES,,,1.0,1.0,8/24/2020,South Gwinnett,yes
Norton ES,1.0,,,1.0,8/25/2020,South Gwinnett,yes
Snellville MS,1.0,,1.0,2.0,8/24/2020,South Gwinnett,yes
South Gwinnett HS,,1.0,,1.0,8/24/2020,South Gwinnett,yes
South Gwinnett HS,0.0,0.0,1.0,1.0,8/28/2020,South Gwinnett,yes
South Gwinnett HS,2.0,0.0,1.0,3.0,8/31/2020,South Gwinnett,yes
South Gwinnett HS,3.0,,,3.0,8/25/2020,South Gwinnett,yes
South Gwinnett HS,1.0,,,1.0,8/26/2020,South Gwinnett,yes
South Gwinnett HS,10.0,0.0,1.0,11.0,9/2/2020,South Gwinnett,yes
Taylor ES,,,1.0,1.0,8/24/2020,Collins Hill,yes
Taylor ES,0.0,0.0,1.0,1.0,8/31/2020,Collins Hill,yes
Taylor ES,0.0,0.0,1.0,1.0,9/3/2020,Collins Hill,yes
Woodward Mill ES,,,1.0,1.0,8/24/2020,Mountain View,yes
Woodward Mill ES,1.0,0.0,0.0,1.0,8/31/2020,Mountain View,yes
Woodward Mill ES,1.0,,2.0,3.0,8/19/2020,Mountain View,yes
Alcova ES,0.0,0.0,2.0,2.0,8/28/2020,Dacula,yes
Alcova ES,,,1.0,1.0,8/20/2020,Dacula,yes
Alcova ES,0.0,0.0,3.0,3.0,9/3/2020,Dacula,yes
Annistown ES,0.0,0.0,1.0,1.0,8/28/2020,Shiloh,yes
Annistown ES,1.0,,,1.0,8/19/2020,Shiloh,yes
Arcado ES,0.0,0.0,1.0,1.0,8/28/2020,Parkview,yes
Arcado ES,0.0,0.0,1.0,1.0,9/1/2020,Parkview,yes
Berkmar HS,1.0,0.0,0.0,1.0,8/28/2020,Berkmar,yes
Berkmar HS,0.0,0.0,1.0,1.0,8/31/2020,Berkmar,yes
Berkmar HS,,,1.0,1.0,8/18/2020,Berkmar,yes
Berkmar HS,1.0,,,1.0,8/20/2020,Berkmar,yes
Berkmar HS,1.0,,,1.0,8/26/2020,Berkmar,yes
Berkmar HS,70.0,1.0,3.0,74.0,9/1/2020,Berkmar,yes
Berkmar HS,9.0,0.0,0.0,9.0,9/2/2020,Berkmar,yes
Buice Center,0.0,0.0,11.0,11.0,8/28/2020,Other,yes
Buice Center,6.0,0.0,5.0,11.0,8/31/2020,Other,yes
Buice Center,,,1.0,1.0,8/18/2020,Other,yes
Buice Center,,,1.0,1.0,8/25/2020,Other,yes
Buice Center,3.0,0.0,2.0,5.0,9/3/2020,Other,yes
Chattahoochee ES,1.0,0.0,0.0,1.0,8/28/2020,Duluth,yes
Duluth HS,4.0,0.0,2.0,6.0,8/28/2020,Duluth,yes
Duluth HS,0.0,0.0,1.0,1.0,8/31/2020,Duluth,yes
Duluth HS,3.0,,2.0,5.0,8/18/2020,Duluth,yes
Duluth HS,1.0,,1.0,2.0,8/19/2020,Duluth,yes
Duluth HS,1.0,1.0,,2.0,8/20/2020,Duluth,yes
Duluth HS,1.0,,,1.0,8/25/2020,Duluth,yes
Duluth HS,1.0,0.0,0.0,1.0,9/2/2020,Duluth,yes
Duluth HS,0.0,0.0,2.0,2.0,9/3/2020,Duluth,yes
Duncan Creek ES,0.0,1.0,0.0,1.0,8/28/2020,Mill Creek,yes
Duncan Creek ES,1.0,0.0,0.0,1.0,8/31/2020,Mill Creek,yes
Duncan Creek ES,2.0,,,2.0,8/18/2020,Mill Creek,yes
Duncan Creek ES,2.0,0.0,0.0,2.0,9/1/2020,Mill Creek,yes
Dyer ES,0.0,0.0,2.0,2.0,8/28/2020,Mountain View,yes
Dyer ES,5.0,0.0,1.0,6.0,8/31/2020,Mountain View,yes
Dyer ES,1.0,,,1.0,8/20/2020,Mountain View,yes
Dyer ES,1.0,0.0,0.0,1.0,9/1/2020,Mountain View,yes
Dyer ES,2.0,0.0,1.0,3.0,9/2/2020,Mountain View,yes
Dyer ES,7.0,0.0,3.0,10.0,9/3/2020,Mountain View,yes
Freeman's Mill ES,1.0,0.0,1.0,2.0,8/28/2020,Mountain View,yes
Freeman's Mill ES,1.0,0.0,1.0,2.0,8/31/2020,Mountain View,yes
Freeman's Mill ES,2.0,,,2.0,8/20/2020,Mountain View,yes
Freeman's Mill ES,1.0,0.0,0.0,1.0,9/3/2020,Mountain View,yes
Knight ES,1.0,0.0,0.0,1.0,8/28/2020,Parkview,yes
Knight ES,,,1.0,1.0,8/18/2020,Parkview,yes
Knight ES,1.0,0.0,0.0,1.0,9/1/2020,Parkview,yes
Knight ES,0.0,0.0,1.0,1.0,9/2/2020,Parkview,yes
Knight ES,0.0,0.0,1.0,1.0,9/3/2020,Parkview,yes
Moore MS,1.0,0.0,0.0,1.0,8/28/2020,Central Gwinnett,yes
Moore MS,4.0,0.0,1.0,5.0,9/1/2020,Central Gwinnett,yes
Moore MS,1.0,0.0,0.0,1.0,9/3/2020,Central Gwinnett,yes
North Gwinnett HS,0.0,0.0,1.0,1.0,8/28/2020,North Gwinnett,yes
North Gwinnett HS,,,1.0,1.0,8/20/2020,North Gwinnett,yes
North Gwinnett HS,1.0,0.0,1.0,2.0,9/1/2020,North Gwinnett,yes
North Gwinnett HS,3.0,0.0,1.0,4.0,9/2/2020,North Gwinnett,yes
North Gwinnett HS,5.0,0.0,2.0,7.0,9/3/2020,North Gwinnett,yes
North Gwinnett MS,0.0,0.0,1.0,1.0,8/28/2020,North Gwinnett,yes
North Gwinnett MS,1.0,0.0,0.0,1.0,8/31/2020,North Gwinnett,yes
North Gwinnett MS,,,1.0,1.0,8/18/2020,North Gwinnett,yes
North Gwinnett MS,1.0,,,1.0,8/20/2020,North Gwinnett,yes
North Gwinnett MS,1.0,0.0,0.0,1.0,9/2/2020,North Gwinnett,yes
North Gwinnett MS,1.0,0.0,0.0,1.0,9/3/2020,North Gwinnett,yes
Osborne MS,3.0,1.0,0.0,4.0,8/28/2020,Mill Creek,yes
Osborne MS,2.0,0.0,0.0,2.0,8/31/2020,Mill Creek,yes
Osborne MS,1.0,,,1.0,8/19/2020,Mill Creek,yes
Osborne MS,,1.0,,1.0,8/20/2020,Mill Creek,yes
Osborne MS,2.0,0.0,0.0,2.0,9/1/2020,Mill Creek,yes
Osborne MS,4.0,0.0,1.0,5.0,9/3/2020,Mill Creek,yes
Peachtree Ridge HS,0.0,0.0,1.0,1.0,8/28/2020,Peachtree Ridge,yes
Peachtree Ridge HS,,1.0,,1.0,8/18/2020,Peachtree Ridge,yes
Peachtree Ridge HS,,,1.0,1.0,8/19/2020,Peachtree Ridge,yes
Peachtree Ridge HS,0.0,0.0,1.0,1.0,9/1/2020,Peachtree Ridge,yes
Peachtree Ridge HS,3.0,0.0,0.0,3.0,9/2/2020,Peachtree Ridge,yes
Peachtree Ridge HS,1.0,0.0,0.0,1.0,9/3/2020,Peachtree Ridge,yes
Rock Springs ES,1.0,0.0,0.0,1.0,8/28/2020,Collins Hill,yes
Rock Springs ES,,,1.0,1.0,8/18/2020,Collins Hill,yes
Rock Springs ES,,,1.0,1.0,8/19/2020,Collins Hill,yes
Rock Springs ES,6.0,0.0,0.0,6.0,9/1/2020,Collins Hill,yes
Rock Springs ES,0.0,0.0,1.0,1.0,9/2/2020,Collins Hill,yes
Shiloh ES,0.0,1.0,0.0,1.0,8/28/2020,Shiloh,yes
Shiloh ES,1.0,,2.0,3.0,8/26/2020,Shiloh,yes
Shiloh HS,0.0,0.0,1.0,1.0,8/28/2020,Shiloh,yes
Shiloh HS,2.0,,,2.0,8/25/2020,Shiloh,yes
Sycamore ES,0.0,0.0,1.0,1.0,8/28/2020,Lanier,yes
Winn Holt ES,7.0,0.0,1.0,8.0,8/28/2020,Central Gwinnett,yes
Winn Holt ES,0.0,0.0,1.0,1.0,8/31/2020,Central Gwinnett,yes
Winn Holt ES,,,1.0,1.0,8/19/2020,Central Gwinnett,yes
Winn Holt ES,,,1.0,1.0,8/20/2020,Central Gwinnett,yes
Winn Holt ES,,,1.0,1.0,8/25/2020,Central Gwinnett,yes
Winn Holt ES,,,1.0,1.0,8/26/2020,Central Gwinnett,yes
Winn Holt ES,0.0,0.0,1.0,1.0,9/2/2020,Central Gwinnett,yes
Dacula ES,1.0,0.0,0.0,1.0,8/31/2020,Dacula,added
Dacula ES,1.0,,,1.0,8/18/2020,Dacula,added
Dacula ES,1.0,,,1.0,8/26/2020,Dacula,added
Dacula ES,6.0,0.0,5.0,11.0,9/1/2020,Dacula,added
Dacula ES,1.0,0.0,0.0,1.0,9/2/2020,Dacula,added
Dacula ES,1.0,0.0,0.0,1.0,9/3/2020,Dacula,added
Dacula HS,1.0,0.0,0.0,1.0,8/31/2020,Dacula,added
Dacula HS,1.0,0.0,0.0,1.0,9/2/2020,Dacula,added
Fort Daniel ES,1.0,0.0,0.0,1.0,8/31/2020,Mill Creek,added
Fort Daniel ES,0.0,0.0,1.0,1.0,9/1/2020,Mill Creek,added
Fort Daniel ES,0.0,0.0,1.0,1.0,9/2/2020,Mill Creek,added
Jones MS,1.0,0.0,0.0,1.0,8/31/2020,Mill Creek,added
Jones MS,1.0,,3.0,4.0,8/26/2020,Mill Creek,added
Jones MS,2.0,0.0,0.0,2.0,9/1/2020,Mill Creek,added
Lawrenceville ES,5.0,0.0,1.0,6.0,8/31/2020,Central Gwinnett,added
Lawrenceville ES,1.0,0.0,0.0,1.0,9/3/2020,Central Gwinnett,added
Norcross ES,1.0,0.0,0.0,1.0,8/31/2020,Norcross,added
Norcross ES,3.0,,1.0,4.0,8/26/2020,Norcross,added
Norcross ES,6.0,0.0,4.0,10.0,9/1/2020,Norcross,added
Norcross ES,0.0,0.0,1.0,1.0,9/2/2020,Norcross,added
Norcross ES,0.0,0.0,2.0,2.0,9/3/2020,Norcross,added
Oakland Meadow School,0.0,0.0,1.0,1.0,8/31/2020,Other,added
Oakland Meadow School,3.0,,1.0,4.0,8/25/2020,Other,added
Oakland Meadow School,1.0,,,1.0,8/26/2020,Other,added
Oakland Meadow School,1.0,0.0,1.0,2.0,9/1/2020,Other,added
Oakland Meadow School,2.0,0.0,0.0,2.0,9/2/2020,Other,added
Radloff MS,1.0,0.0,0.0,1.0,8/31/2020,Meadowcreek,added
Radloff MS,1.0,0.0,0.0,1.0,9/1/2020,Meadowcreek,added
Radloff MS,0.0,0.0,1.0,1.0,9/3/2020,Meadowcreek,added
Richards MS,7.0,0.0,3.0,10.0,8/31/2020,Discovery,added
Richards MS,,,1.0,1.0,8/18/2020,Discovery,added
Richards MS,,,1.0,1.0,8/26/2020,Discovery,added
Richards MS,0.0,0.0,4.0,4.0,9/1/2020,Discovery,added
Richards MS,0.0,0.0,1.0,1.0,9/2/2020,Discovery,added
Riverside ES,1.0,0.0,0.0,1.0,8/31/2020,North Gwinnett,added
Riverside ES,0.0,0.0,1.0,1.0,9/1/2020,North Gwinnett,added
Roberts ES,0.0,1.0,0.0,1.0,8/31/2020,North Gwinnett,added
Roberts ES,0.0,0.0,1.0,1.0,9/3/2020,North Gwinnett,added
Twin Rivers MS,26.0,0.0,2.0,28.0,8/31/2020,Mountain View,added
Twin Rivers MS,2.0,,1.0,3.0,8/20/2020,Mountain View,added
Twin Rivers MS,1.0,1.0,0.0,2.0,9/1/2020,Mountain View,added
Twin Rivers MS,0.0,0.0,2.0,2.0,9/3/2020,Mountain View,added
Collins Hill HS,,,1.0,1.0,8/18/2020,Collins Hill,added
Collins Hill HS,2.0,,,2.0,8/19/2020,Collins Hill,added
Collins Hill HS,1.0,0.0,0.0,1.0,9/1/2020,Collins Hill,added
Collins Hill HS,1.0,0.0,2.0,3.0,9/3/2020,Collins Hill,added
Crews MS,,1.0,,1.0,8/18/2020,Brookwood,added
Crews MS,,,1.0,1.0,8/26/2020,Brookwood,added
Crews MS,0.0,0.0,1.0,1.0,9/3/2020,Brookwood,added
Grayson ES,1.0,1.0,,2.0,8/18/2020,Grayson,added
Grayson ES,,1.0,,1.0,8/19/2020,Grayson,added
Grayson ES,,,1.0,1.0,8/26/2020,Grayson,added
Grayson HS,,,3.0,3.0,8/18/2020,Grayson,added
Grayson HS,1.0,0.0,0.0,1.0,9/2/2020,Grayson,added
Mill Creek HS,1.0,,,1.0,8/18/2020,Mill Creek,added
Mill Creek HS,1.0,,,1.0,8/26/2020,Mill Creek,added
Mill Creek HS,2.0,0.0,1.0,3.0,9/1/2020,Mill Creek,added
Mill Creek HS,20.0,1.0,0.0,21.0,9/2/2020,Mill Creek,added
Mill Creek HS,1.0,0.0,0.0,1.0,9/3/2020,Mill Creek,added
Sweetwater MS,,,1.0,1.0,8/18/2020,Berkmar,added
Sweetwater MS,,1.0,,1.0,8/25/2020,Berkmar,added
Sweetwater MS,0.0,0.0,1.0,1.0,9/1/2020,Berkmar,added
Sweetwater MS,1.0,0.0,1.0,2.0,9/3/2020,Berkmar,added
Beaver Ridge ES,,1.0,,1.0,8/19/2020,Norcross,added
Beaver Ridge ES,0.0,0.0,1.0,1.0,9/1/2020,Norcross,added
Britt ES,,,2.0,2.0,8/19/2020,South Gwinnett,added
Britt ES,2.0,0.0,2.0,4.0,9/2/2020,South Gwinnett,added
Cedar Hill ES,,,1.0,1.0,8/19/2020,Discovery,added
Cedar Hill ES,1.0,,1.0,2.0,8/20/2020,Discovery,added
Cedar Hill ES,12.0,0.0,2.0,14.0,9/3/2020,Discovery,added
Discovery HS,,,1.0,1.0,8/19/2020,Discovery,added
Discovery HS,,,1.0,1.0,8/20/2020,Discovery,added
Discovery HS,,,2.0,2.0,8/25/2020,Discovery,added
Discovery HS,1.0,0.0,0.0,1.0,9/2/2020,Discovery,added
Partee ES,,1.0,,1.0,8/19/2020,Shiloh,added
Summerour MS,1.0,,,1.0,8/19/2020,Norcross,added
Summerour MS,,,1.0,1.0,8/20/2020,Norcross,added
Summerour MS,1.0,,,1.0,8/25/2020,Norcross,added
Summerour MS,0.0,0.0,1.0,1.0,9/2/2020,Norcross,added
Anderson-Livsey ES,2.0,3.0,,5.0,8/19/2020,Shiloh,added
Anderson-Livsey ES,,1.0,,1.0,8/25/2020,Shiloh,added
Dacula MS,1.0,,,1.0,8/20/2020,Dacula,added
Dacula MS,,1.0,,1.0,8/25/2020,Dacula,added
Dacula MS,2.0,0.0,1.0,3.0,9/1/2020,Dacula,added
Dacula MS,1.0,0.0,0.0,1.0,9/3/2020,Dacula,added
Mason ES,,,1.0,1.0,8/20/2020,Peachtree Ridge,added
Minor ES,1.0,,1.0,2.0,8/20/2020,Berkmar,added
Minor ES,1.0,1.0,0.0,2.0,9/1/2020,Berkmar,added
Minor ES,1.0,0.0,0.0,1.0,9/3/2020,Berkmar,added
Nesbit ES,1.0,,,1.0,8/20/2020,Meadowcreek,added
Nesbit ES,0.0,0.0,1.0,1.0,9/1/2020,Meadowcreek,added
Nesbit ES,0.0,0.0,1.0,1.0,9/3/2020,Meadowcreek,added
Baldwin ES,,,1.0,1.0,8/25/2020,Norcross,added
Baldwin ES,0.0,0.0,2.0,2.0,9/3/2020,Norcross,added
Bay Creek MS,,,1.0,1.0,8/25/2020,Grayson,added
Bay Creek MS,1.0,0.0,0.0,1.0,9/2/2020,Grayson,added
Bay Creek MS,0.0,0.0,2.0,2.0,9/3/2020,Grayson,added
Brookwood HS,1.0,,1.0,2.0,8/25/2020,Brookwood,added
Brookwood HS,1.0,,,1.0,8/26/2020,Brookwood,added
Brookwood HS,0.0,0.0,1.0,1.0,9/1/2020,Brookwood,added
Brookwood HS,1.0,0.0,0.0,1.0,9/2/2020,Brookwood,added
Meadowcreek ES,1.0,,,1.0,8/25/2020,Meadowcreek,added
Meadowcreek ES,,,1.0,1.0,8/26/2020,Meadowcreek,added
Meadowcreek ES,0.0,0.0,4.0,4.0,9/3/2020,Meadowcreek,added
Phoenix HS,,,1.0,1.0,8/25/2020,Other,added
Pinckneyville MS,1.0,,,1.0,8/25/2020,Norcross,added
Rockbridge ES,2.0,,,2.0,8/26/2020,Meadowcreek,added
Rockbridge ES,2.0,0.0,0.0,2.0,9/1/2020,Meadowcreek,added
